Modèle,AUC-ROC,F1-Score,Précision,Recall,Accuracy,Avg Precision
LightGBM,0.7854,0.4486,0.305,0.5518,0.8759,0.4177
Bagging,0.7785,0.4883,0.305,0.5518,0.8634,0.4277
Gradient Boosting,0.7784,0.4644,0.4113,0.5333,0.8532,0.4205
XGBoost,0.7749,0.4384,0.305,0.5518,0.8707,0.4025
Stacking,0.7706,0.4132,0.305,0.5518,0.8703,0.3904
SVM,0.7562,0.3709,0.2495,0.7219,0.7077,0.3638
Random Forest,0.7519,0.3952,0.4149,0.3773,0.8622,0.3467
Régression Logistique,0.7375,0.3945,0.326,0.4995,0.817,0.3616
KNN,0.7316,0.3929,0.305,0.5518,0.7965,0.284
Arbre de Décision,0.7043,0.4542,0.418,0.4973,0.8574,0.3432
